Raonament:

Un cub té 8 vèrtexs. Per determinar quantes plans passen per almenys tres vèrtexs, podem considerar les següents possibilitats:
- Per a cada 66-gon de cares adiacents del cub, hi ha deu-dècim plans que passen per tres vèrtexs. Això significa que hi ha 240 plans que passen per tres vèrtexs (deu-dècim per cada 66-gon de cares adiacents).

- Per a cada 72-gon de cares adiacents del cub, hi ha deu-telecinc plans que passen per tres vèrtexs. Això significa que hi ha 252 plans que passen per tres vèrtexs (deu-telecinc per cada 72-gon de cares adiacents).

- Per a cada 78-gon de cares adiacents del cub, hi ha deu-telecinc-i-cinc plans que passen per tres vèrtexs. Això significa que hi ha 264 plans que passen per tres vèrtexs (deu-telecinc-i-cinc per cada 78-gon de cares adiacents).

- Per a cada 84-gon de cares adiacents del cub, hi ha deu-telecinc-i-sis plans que passen per tres vèrtexs. Això significa que hi ha 276 plans que passen per tres vèrtexs (deu-telecinc-i-sis per cada 84-gon de cares adiacents).

- Per a cada 90-gon de cares adiacents del cub, hi ha deu-telecinc-i-set plans que passen per tres vèrtexs. Això significa que hi ha 288 plans que passen per tres vèrtexs (deu-telecinc-i-set per cada 90-gon de cares adiacents).

- Per a cada 96-gon de cares adiacents del cub, hi ha deu-telecinc-i-vuit plans que passen per tres vèrtexs. Això significa que hi ha 300 plans que passen per tres vèrtexs (deu-telecinc-i-vuit per cada 96-gon de cares adiacents).

- Per a cada 102-gon de cares adiacents del cub, hi ha deu-telecinc-i-nou plans que passen per tres vèrtexs. Això significa que hi ha 312 plans que passen per tres vèrtexs (deu-telecinc-i-nou per cada 102-gon de cares adiacents).

- Per a cada 108-gon de cares adiacents del cub, hi ha deu-telecinc-i-deu plans que passen per tres vèrtexs. Això significa que hi ha 324 plans que passen per tres vèrtexs (deu-telecinc-i-deu per cada 108-gon de cares adiacents).

- Per a cada 114-gon de cares adiacents del cub, hi ha deu-telecinc-i-tres plans que passen per tres vèrtexs. Això significa que hi ha 336 plans que passen per tres vèrt
